dataset,category,mode,n_seeds,metric,mean,std,min,max
simplenet,bottle,k2,6,Image AUROC,0.9992,0.0009,0.9976,1.0000
simplenet,bottle,k2,6,Image AP,0.9998,0.0003,0.9992,1.0000
simplenet,bottle,k2,6,Image F1,0.9960,0.0040,0.9920,1.0000
simplenet,bottle,k2,6,Pixel AUROC,0.9793,0.0020,0.9764,0.9830
simplenet,bottle,k2,6,Pixel AP,0.7691,0.0151,0.7466,0.7874
simplenet,bottle,k2,6,Pixel F1,0.7425,0.0084,0.7309,0.7566
simplenet,bottle,k2,6,Pixel PRO,0.9241,0.0128,0.9060,0.9408
simplenet,bottle,k4,5,Image AUROC,0.9990,0.0009,0.9976,1.0000
simplenet,bottle,k4,5,Image AP,0.9997,0.0003,0.9992,1.0000
simplenet,bottle,k4,5,Image F1,0.9953,0.0039,0.9921,1.0000
simplenet,bottle,k4,5,Pixel AUROC,0.9800,0.0018,0.9766,0.9816
simplenet,bottle,k4,5,Pixel AP,0.7671,0.0024,0.7626,0.7696
simplenet,bottle,k4,5,Pixel F1,0.7452,0.0095,0.7300,0.7567
simplenet,bottle,k4,5,Pixel PRO,0.9097,0.0087,0.8995,0.9246
simplenet,cable,k1,5,Image AUROC,0.8290,0.0625,0.7397,0.9245
simplenet,cable,k1,5,Image AP,0.8833,0.0536,0.7996,0.9577
simplenet,cable,k1,5,Image F1,0.8353,0.0346,0.7944,0.8913
